Narrative,Severity,Vulnerability
My medical financing company incorrectly declared my account delinquent and referred it to collections while I am undergoing chemotherapy and unable to work.,5,5
My loan servicer reported multiple false defaults that caused me to lose housing assistance and prevented me from refinancing my home.,5,5
"My credit union placed an unlimited hold on insurance settlement funds intended to rebuild my home after flooding, leaving my family displaced.",5,5
The auto finance company refused to acknowledge months of successful payments and repossessed the vehicle I use to transport my disabled child.,5,5
"My pension administrator and bank each claim the other lost my monthly payments, and I have now gone six weeks without any income.",5,5
A BNPL provider incorrectly accelerated every installment and sent the account to collections while I survive entirely on disability income.,5,5
"The bank failed to honor a power of attorney, preventing access to funds needed for my elderly mother's nursing home expenses.",5,5
"My mortgage payoff funds were accepted but never credited, resulting in continued interest, legal notices, and denial of the property sale that I depended on for retirement.",5,5
"My payroll card provider suspended my account after a system error, trapping my entire paycheck while I have no savings or family support.",5,5
"The lender repeatedly ignored bankruptcy protections and continued collecting payments directly from my pension account, leaving me unable to afford medication.",5,5
"My escrow payments were mismanaged for years, creating a massive shortage that doubled my mortgage payment while I live entirely on fixed retirement income.",5,5
"The bank rejected every emergency wire transfer from my family during a medical crisis abroad, leaving me unable to pay the hospital for life-saving treatment.",5,5
My student loan servicer lost my disability discharge paperwork three times and continued collections despite medical certification of permanent disability.,5,5
"My checking account was drained by repeated unauthorized overdraft and maintenance fees caused by internal processing errors, eliminating the only funds available for rent, food, and prescription medication while I rely on public assistance.",5,5
My debit card transaction was processed twice but the duplicate charge was automatically reversed the next business day.,2,0
The bank incorrectly charged a monthly maintenance fee that was refunded after I contacted customer service.,2,0
A mobile deposit remained pending for three days before being successfully credited to my account.,2,0
"My credit card payment was recorded a day late because of a processing delay, although the late fee was later removed.",2,0
"The ATM dispensed less cash than requested, and the missing amount was restored after an investigation.",2,0
"A scheduled wire transfer was delayed by two business days, causing me to postpone a planned purchase.",2,0
My automatic loan payment failed because of a system error and I had to make the payment manually.,2,0
The bank accidentally placed a temporary hold on funds needed for a weekend trip before releasing them the following day.,2,0
A duplicate ACH withdrawal temporarily reduced my available balance until the error was corrected.,2,0
My credit card rewards were incorrectly redeemed for the wrong amount and customer support restored the missing points.,2,0
I logged into online banking to review my recent transactions and everything appeared correct.,0,0
I contacted customer service to ask how to order additional checks for my checking account.,0,0
I wanted to compare mortgage interest rates before deciding whether to refinance.,0,0
I successfully enrolled in paperless statements for my savings account.,0,0
I updated the beneficiary information on my retirement account without any problems.,0,0
I checked my available credit before making a large purchase and found the information easily.,0,0
I used the bank's budgeting tool to categorize my monthly spending.,0,0
I confirmed that my recurring transfer between checking and savings was scheduled correctly.,0,0
I reviewed the terms of my auto loan before making an extra payment.,0,0
I activated travel notifications for my credit card through the mobile app.,0,0
I requested a copy of my previous year's account statements for tax preparation.,0,0
I verified the routing number for my checking account before setting up direct deposit.,0,0
I asked whether my debit card supports contactless payments and received a clear explanation.,0,0
I reviewed the interest earned on my certificate of deposit after it matured.,0,0
I successfully linked my bank account to a payment application.,0,0
I compared cashback categories offered by different credit cards before applying.,0,0
I confirmed that my account alerts were enabled for purchases over one hundred dollars.,0,0
I visited the branch to ask about safe deposit box rental availability.,0,0
I checked the exchange rate before planning an international trip.,0,0
I used the loan calculator to estimate monthly payments for a personal loan.,0,0
I am an elderly customer and wanted help understanding how to enable transaction alerts on my debit card because I rarely use mobile banking.,1,5
I receive disability benefits and called to ask whether my monthly deposit schedule changes during public holidays.,1,5
I recently moved into assisted living and needed guidance on updating my mailing address for account statements.,1,5
I rely entirely on my pension and wanted assistance setting up automatic bill payments for the first time.,1,5
I have limited vision and requested information about receiving account statements in large-print format.,1,5
I recently immigrated and wanted someone to explain the difference between a savings account and a money market account.,1,5
I depend on online banking because I cannot easily travel and needed help resetting my password after forgetting it.,1,5
I am a full-time caregiver and wanted to confirm that recurring prescription payments would continue after my debit card renewal.,1,5
I receive government assistance and called to understand whether a pending transaction immediately reduces my available balance.,1,5
"As an elderly widow managing finances alone for the first time, I requested help understanding the monthly fees listed on my account statement.",1,5
I rely entirely on disability benefits and a duplicate debit card charge temporarily reduced my grocery budget until it was reversed two days later.,2,5
"My pension deposit arrived one day late because of a processing delay, forcing me to postpone paying for prescription medication.",2,5
I am an elderly customer and an incorrect maintenance fee remained on my account for several days before being refunded.,2,5
"My replacement debit card arrived five days late, making it difficult to purchase necessities while I recover from surgery.",2,5
I receive government assistance and a delayed mobile deposit temporarily prevented me from paying my utility bill.,2,5
I have limited mobility and an ATM error held $200 from my account for three days before correcting itself.,2,5
"My recurring pharmacy payment failed because my bank temporarily blocked the transaction, requiring multiple calls to resolve.",2,5
I depend on monthly survivor benefits and an ACH transfer remained pending for four days without explanation.,2,5
I am visually impaired and a banking app update removed accessibility features until the following week.,2,5
My checking account showed an incorrect negative balance for two days while I relied on those funds for groceries.,2,5
I recently lost my job and my bank delayed releasing a check deposit by three business days.,2,5
I am a caregiver for my disabled child and an online bill payment failed because of a processing error.,2,5
My pension account was charged duplicate service fees that were later refunded after investigation.,2,5
"I rely on a prepaid payroll card and an ATM withdrawal remained pending, reducing my available balance for several days.",2,5
I receive disability income and my scheduled transfer between accounts did not process until the following day.,2,5
"As an elderly customer, I was incorrectly charged for paper statements until customer service corrected the mistake.",2,5
I depend on food assistance and my debit card authorization hold remained longer than expected.,2,5
My bank accidentally declined a recurring insurance payment before approving it several hours later.,2,5
I use public transportation because of a disability and a delayed refund left me unable to reload my transit card.,2,5
I am recovering from major surgery and duplicate pharmacy charges temporarily reduced my available balance.,2,5
I receive a fixed pension and an automatic savings transfer processed twice before one transaction was reversed.,2,5
I rely entirely on online banking and a temporary system outage delayed my scheduled rent payment.,2,5
My disability payment appeared missing for one day because of an internal posting delay.,2,5
I am an elderly customer and my bank temporarily locked online access while verifying routine profile updates.,2,5
I depend on monthly benefits and a delayed ACH refund prevented me from purchasing household essentials for several days.,2,5
I am an elderly customer and wanted help understanding the cashback rewards shown on my credit card statement.,1,4
I receive disability benefits and called to ask whether ATM withdrawals have a daily limit.,1,4
I recently immigrated and needed assistance understanding overdraft protection options.,1,4
I rely on government assistance and wanted clarification about how pending debit transactions work.,1,4
I have limited vision and requested guidance for enabling voice accessibility in the banking app.,1,4
I depend on my pension and asked how to schedule recurring bill payments online.,1,4
As a senior citizen I needed help locating my electronic account statements after a website update.,1,4
I am a caregiver and wanted to confirm that automatic mortgage payments were successfully enrolled.,1,4
I recently entered assisted living and requested information about adding my daughter as an authorized user.,1,4
I rely on disability income and needed assistance resetting my online banking password.,1,4
I recently became widowed and wanted someone to explain the monthly fees listed on my checking account.,1,4
I receive survivor benefits and contacted support to understand how direct deposits appear in transaction history.,1,4
I use a screen reader and needed help locating the mobile check deposit feature.,1,4
I rely entirely on debit card purchases and wanted clarification about contactless payment security.,1,4
I recently retired and asked customer service to explain the difference between available and current balances.,1,4
I receive public assistance and wanted help enrolling in low-balance text alerts.,1,4
I am an elderly customer and accidentally locked my debit card using the app and needed assistance unlocking it.,1,4
I have limited mobility and requested information about scheduling appointments at an accessible branch.,1,4
I recently moved to a nursing facility and wanted to update my mailing address for statements.,1,4
I depend on automatic pension deposits and asked whether holidays affect posting times.,1,4
I am visually impaired and needed help increasing text size within the mobile banking application.,1,4
I rely on monthly assistance payments and contacted support to verify my routing number before enrolling in direct deposit.,1,4
As a senior citizen I wanted to know whether my debit card can be temporarily locked while traveling.,1,4
I recently opened my first checking account after recovering from illness and requested guidance on using bill pay.,1,4
I receive disability benefits and wanted to understand why my account balance includes pending transactions separately.,1,4
"My mortgage servicer misapplied three consecutive payments, resulting in delinquency notices and significant late fees despite proof of payment.",4,3
"My auto lender incorrectly reported missed payments, causing my credit score to drop and delaying my refinancing application.",4,3
"The bank held a $7,500 insurance settlement check for over two weeks without providing a reason, delaying necessary home repairs.",4,3
"My student loan servicer placed me in the wrong repayment plan, increasing my monthly payment by hundreds of dollars.",4,3
"My checking account was frozen for five days during a fraud review, preventing me from paying rent and utilities on time.",4,3
The bank processed duplicate wire transfers totaling several thousand dollars and took weeks to reverse the mistake.,4,3
"A debt collector continued reporting an account as unpaid after I provided proof of settlement, damaging my credit.",4,3
"My escrow account failed to pay homeowner's insurance premiums, causing my policy to lapse unexpectedly.",4,3
"The lender repeatedly rejected valid mortgage payments through autopay, generating unnecessary penalties.",4,3
"A large cashier's check was incorrectly canceled, delaying the purchase of my new home.",4,3
The bank closed my savings account by mistake and took over a week to restore access to my funds.,4,3
"My business checking account was restricted without notice, delaying payroll for several employees.",4,3
The credit card issuer incorrectly reduced my available limit during an active billing dispute.,4,3
"My loan payoff included unexplained fees exceeding $2,000 that customer service could not justify.",4,3
A remittance transfer failed but the provider did not return my funds for nearly a month.,4,3
My pension deposit was delayed for a week because of repeated processing errors at the bank.,4,3
"The bank failed to honor a stop-payment request, allowing a large unauthorized check to clear.",4,3
My mobile wallet balance was inaccessible for several days because of an internal verification error.,4,3
"An ACH payment was processed three times, creating overdrafts and returned payment fees.",4,3
The lender incorrectly accelerated my auto loan balance despite receiving every monthly payment.,4,3
The bank repeatedly charged overdraft fees caused entirely by delayed transaction posting.,4,3
A mortgage escrow analysis contained major calculation errors that doubled my monthly payment.,4,3
"The investment platform failed to execute my sell order during extreme market volatility, causing significant losses.",4,3
My savings account accrued months of incorrect maintenance fees before the bank acknowledged the error.,4,3
My employer's payroll deposit was credited to the wrong account and remained unresolved for several business days.,4,3
"The bank incorrectly returned my rent payment despite sufficient funds, resulting in penalties from my landlord.",4,3
The credit union repeatedly mailed sensitive financial documents to the wrong address despite multiple corrections.,4,3
"The loan servicer incorrectly removed my interest rate discount, substantially increasing my monthly payment.",4,3
My retirement withdrawal request remained unprocessed for weeks despite multiple confirmations.,4,3
The bank failed to process my dispute for duplicate debit transactions within the promised timeframe.,4,3
"The bank accidentally charged me a $10,000 cash advance fee that was eventually reversed after an investigation.",5,0
My mortgage servicer incorrectly declared my loan in default even though every payment was made on time.,5,0
The lender repossessed my vehicle despite proof that my account was current.,5,0
My investment account was liquidated without authorization during a period of market volatility.,5,0
A wire transfer for the purchase of my home disappeared and has not been recovered after several weeks.,5,0
"My business line of credit was permanently closed because of an internal banking error, forcing operations to stop.",5,0
"The bank processed duplicate mortgage withdrawals totaling more than $15,000 from my checking account.",5,0
My retirement savings were mistakenly transferred to another account and remain unrecovered.,5,0
"The loan servicer reported multiple false defaults, preventing me from obtaining financing for a new home.",5,0
"The bank lost a certified check worth $25,000 and has been unable to locate it for over a month.",5,0
"My escrow account failed to pay property taxes, resulting in a government tax lien against my property.",5,0
A payroll processing error prevented my salary from being deposited for an entire pay cycle.,5,0
The bank permanently closed my checking account without notice while multiple large payments were pending.,5,0
My auto lender refused to release the vehicle title months after the loan was fully repaid.,5,0
The bank rejected multiple international wire transfers needed to complete a property purchase overseas.,5,0
"The loan company added over $30,000 in unexplained fees during the final payoff process.",5,0
A remittance provider permanently lost funds intended for an international property purchase.,5,0
My mortgage payments disappeared for four consecutive months despite confirmed withdrawals from my account.,5,0
"The investment platform executed an order opposite to the one I submitted, resulting in major financial losses.",5,0
The bank repeatedly failed to stop large ACH withdrawals after multiple written requests.,5,0
My small business account was frozen indefinitely during a compliance review without any explanation.,5,0
"A servicing error caused my paid-off mortgage to remain active, generating legal collection notices.",5,0
"The bank processed the same wire transfer twice, removing nearly all available funds from my account.",5,0
My pension distribution was returned because of an internal processing error and remained missing for weeks.,5,0
The lender incorrectly sold my loan to collections despite documentation proving it was fully satisfied.,5,0
"My insurance settlement check was lost by the bank, delaying repairs to my home for over a month.",5,0
The bank repeatedly debited my account for another customer's loan payments before acknowledging the mistake.,5,0
My checking account balance suddenly became negative because of a system error involving multiple large transactions.,5,0
"The credit card issuer incorrectly processed a balance transfer twice, creating thousands of dollars of unexpected debt.",5,0
The bank refused to release a large certificate of deposit at maturity despite all identity verification requirements being satisfied.,5,0
